location,country,longitude,latitude,modernCountryCode
Canary Islands,Spain,28.1,-15.4,ES
Cape Canaveral,United States,28.388333,-80.603611,US
Edwards Air Force Base,United States,34.9080884,-117.8855285,US
Hammaguir,Algeria,30.9,-3.033333,DZ
Jiuquan,Peoples Republic of China,40.9675,100.278611,CN
Jiuquan,Turkey,40.9675,100.278611,CN
Kapustin Yar,Russia,48.586,45.72,RU
Kapustin Yar,U.S.S.R,48.586,45.72,RU
Kodiak Launch Complex,United States,57.4353,-152.3393,US
Kourou,French Guiana,5.237222,-52.760556,GF
Kourou,International,5.237222,-52.760556,GF
Kwajalein,Republic of the Marshall Islands,8.7167,167.7333,MH
Naro Space Center,South Korea,34.431867,127.535069,KR
Odyssey (Sea Launch Platform),,,,
Odyssey (Sea Launch Platform),International,,,
Palmahim,Israel,31.933333,34.706389,IL
Plesetsk,Russia,62.9167,40.5167,RU
Plesetsk,U.S.S.R,62.9167,40.5167,RU
Point Arguello,United States,34.616667,-120.6,US
Russian Submarine in Barents Sea,,,,
San Marco Platform,Kenya,-2.938333,40.2125,KE
Semnan,Iran,35.572778,53.397222,IR
Shuang Cheng-Tzu,Peoples Republic of China,40.6,99.9,CN
Sohae,North Korea,39.66,124.705,KP
Sriharikota,Austria,13.7178,80.2,IN
Sriharikota,Canada,13.7178,80.2,IN
Sriharikota,Denmark,13.7178,80.2,IN
Sriharikota,France,13.7178,80.2,IN
Sriharikota,India,13.7178,80.2,IN
Sriharikota,Japan,13.7178,80.2,IN
Sriharikota,United Kingdom,13.7178,80.2,IN
Svobodniy,Russia,51.4000,128.1333,RU
Taiyuan,Peoples Republic of China,37.8694,112.5603,CN
Tanegashima,Japan,30.4000,130.9700,JP
Tyuratam (Baikonur Cosmodrome),Kazakhstan,45.9650,63.3050,RU
Tyuratam (Baikonur Cosmodrome),Russia,45.9650,63.3050,RU
Tyuratam (Baikonur Cosmodrome),U.S.S.R,45.9650,63.3050,RU
Tyuratam (Baikonur Cosmodrome),United States,45.9650,63.3050,RU
Uchinoura Space Center,Japan,31.251944,131.081944,JP
Vandenberg AFB,United States,34.732778,-120.568056,US
Voyeikov (Ship),United States,,,US
Wallops Island,United States,37.85,-75.466667,US
Woomera,Australia,-31.2,136.816667,AU
Xichang,Peoples Republic of China,28.246017,102.026556,CN
Yasni,Russia,,,RU
Yavne,Israel,31.883333,34.733333,IL