Point Arguello,United States,,
Russian Submarine in Barents Sea,,,
San Marco Platform,Kenya,,
Semnan, Iran,,
Shuang Cheng-Tzu, Peoples Republic of China,,
Sohae, North Korea,,
Sriharikota, Austria,13.7178,80.2
Sriharikota, Canada,13.7178,80.2
Sriharikota, Denmark,13.7178,80.2
Sriharikota, France,13.7178,80.2
Sriharikota, India,13.7178,80.2
Sriharikota, Japan,13.7178,80.2
Sriharikota, United Kingdom,13.7178,80.2
Svobodniy, Russia,,
Taiyuan, Peoples Republic of China,,
Tanegashima, Japan,,
Tyuratam (Baikonur Cosmodrome), Kazakhstan,,
Tyuratam (Baikonur Cosmodrome), Russia,,
Tyuratam (Baikonur Cosmodrome), U.S.S.R,,
Tyuratam (Baikonur Cosmodrome), United States,,
Uchinoura Space Center, Japan,,
Vandenberg AFB, United States,,
Voyeikov (Ship), United States,,
Wallops Island, United States,,
Woomera, Australia,,
Xichang, Peoples Republic of China,,
Yasni, Russia,,
Yavne, Israel,,